City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-13.72,92,100,13.0,RU,1708576932
1,adamstown,-25.066,-130.1015,25.92,81,98,3.48,PN,1708576932
2,san patricio,28.017,-97.5169,20.47,86,1,8.7,US,1708576932
3,bilibino,68.0546,166.4372,-30.18,91,97,3.42,RU,1708576932
4,thunder bay,48.4001,-89.3168,-4.01,93,40,1.54,CA,1708576869
5,margaret river,-33.95,115.0667,24.16,44,0,6.82,AU,1708576933
6,college,64.8569,-147.8028,-5.01,86,75,3.6,US,1708576933
7,al hawatah,13.4167,34.6333,25.21,40,81,5.36,SD,1708576933
8,haiku-pauwela,20.9219,-156.3051,23.01,70,40,6.69,US,1708576933
9,lebanon,36.2081,-86.2911,15.44,49,100,5.66,US,1708576774
10,invercargill,-46.4,168.35,16.68,69,9,5.81,NZ,1708576933
11,xuanzhou,30.9525,118.7553,-1.41,94,100,4.06,CN,1708576934
12,kingston,17.997,-76.7936,24.53,61,20,6.17,JM,1708576846
13,vanimo,-2.6741,141.3028,28.25,80,76,2.53,PG,1708576934
14,edinburgh of the seven seas,-37.0676,-12.3116,18.14,90,99,12.01,SH,1708576934
15,iskateley,67.6803,53.1512,-18.88,96,94,3.58,RU,1708576934
16,fale old settlement,-9.3852,-171.2468,29.82,72,79,4.03,TK,1708576935
17,waitangi,-43.9535,-176.5597,15.46,86,57,3.58,NZ,1708576935
18,ciudad lazaro cardenas,17.9583,-102.2,23.27,81,0,1.27,MX,1708576935
19,blackmans bay,-43.0167,147.3167,33.07,35,53,6.71,AU,1708576935
20,barclayville,4.6797,-8.2339,25.89,90,38,2.44,LR,1708576935
21,kuala tungkal,-0.8167,103.4667,23.52,95,100,4.22,ID,1708576936
22,bethel,41.3712,-73.414,1.2,73,100,0.0,US,1708576936
23,queenstown,-31.8976,26.8753,16.29,84,99,2.13,ZA,1708576713
24,susuman,62.7833,148.1667,-25.01,91,99,1.79,RU,1708576936
25,tofol,5.3248,163.0078,28.26,83,87,8.91,FM,1708576937
26,vila velha,-20.3297,-40.2925,25.53,91,100,6.26,BR,1708576937
27,port-aux-francais,-49.35,70.2167,5.36,72,62,14.49,TF,1708576938
28,la passe,45.5549,-0.8967,11.13,84,100,6.97,FR,1708576938
29,west island,-12.1568,96.8225,30.99,70,40,5.66,CC,1708576939
30,ust-nera,64.5667,143.2,-26.63,96,99,1.28,RU,1708576940
31,puerto armuelles,8.2833,-82.8667,27.83,75,3,2.24,PA,1708576940
32,happy valley-goose bay,53.3168,-60.3315,-9.83,67,40,5.14,CA,1708576941
